Date,Year,Month,Day,Hour,avg_temp_f,avg_rel_hum
2015-01-01,2015,1,1,100,23.83,74.58
2015-01-01,2015,1,1,200,23.981,73.7
2015-01-01,2015,1,1,300,24.919,72.28
2015-01-01,2015,1,1,400,25.552,72.47
2015-01-01,2015,1,1,500,26.278,72.72
2015-01-01,2015,1,1,600,26.47,74.72
2015-01-01,2015,1,1,700,27.043,76.3
2015-01-01,2015,1,1,800,27.025,79.18
2015-01-01,2015,1,1,900,25.637,82.5
2015-01-01,2015,1,1,1000,22.537,81.7
2015-01-01,2015,1,1,1100,19.508,71.42
2015-01-01,2015,1,1,1200,18.527,59.29
2015-01-01,2015,1,1,1300,18.867,56.49
2015-01-01,2015,1,1,1400,18.226,54.17
2015-01-01,2015,1,1,1500,17.839,58.58
2015-01-01,2015,1,1,1600,16.106,64.19
2015-01-01,2015,1,1,1700,13.856,61.49
2015-01-01,2015,1,1,1800,11.462,64.22
2015-01-01,2015,1,1,1900,9.878,66.5
2015-01-01,2015,1,1,2000,8.024,64.41
2015-01-01,2015,1,1,2100,6.674,61.53
2015-01-01,2015,1,1,2200,5.918,61.91
2015-01-01,2015,1,1,2300,5.702,59.84
2015-01-01,2015,1,1,2400,5.144,61.72
2015-01-02,2015,1,2,100,6.206,58.82
2015-01-02,2015,1,2,200,7.43,51.63
2015-01-02,2015,1,2,300,8.384,54.74
2015-01-02,2015,1,2,400,9.806,51.98
2015-01-02,2015,1,2,500,11.48,57.54
2015-01-02,2015,1,2,600,13.55,67.17
2015-01-02,2015,1,2,700,16.988,73.38
2015-01-02,2015,1,2,800,19.409,76.76
2015-01-02,2015,1,2,900,21.771,78.87
2015-01-02,2015,1,2,1000,25.266,79.04
2015-01-02,2015,1,2,1100,29.991,74.82
2015-01-02,2015,1,2,1200,32.544,70.79
2015-01-02,2015,1,2,1300,34.939,67.23
2015-01-02,2015,1,2,1400,36.739,64.94
2015-01-02,2015,1,2,1500,36.034,66.93
2015-01-02,2015,1,2,1600,34.529,69.52
2015-01-02,2015,1,2,1700,33.219,72.58
2015-01-02,2015,1,2,1800,29.86,80.9
2015-01-02,2015,1,2,1900,26.942,84.2
2015-01-02,2015,1,2,2000,30.544,75.75
2015-01-02,2015,1,2,2100,29.206,79.18
2015-01-02,2015,1,2,2200,28.225,79.81
2015-01-02,2015,1,2,2300,27.468,78.75
2015-01-02,2015,1,2,2400,26.584,77.34
2015-01-03,2015,1,3,100,25.54,78.33
2015-01-03,2015,1,3,200,25.605,78.66
2015-01-03,2015,1,3,300,25.718,78.82
2015-01-03,2015,1,3,400,25.889,78.48
2015-01-03,2015,1,3,500,25.799,78.18
2015-01-03,2015,1,3,600,14.432,83.2
2015-01-03,2015,1,3,700,10.256,83
2015-01-03,2015,1,3,800,5.972,81.9
2015-01-03,2015,1,3,900,3.758,80.8
2015-01-03,2015,1,3,1000,-0.022,78.85
2015-01-03,2015,1,3,1100,-1.372,77.81
2015-01-03,2015,1,3,1200,-1.948,76.85
2015-01-03,2015,1,3,1300,-1.912,75.89
2015-01-03,2015,1,3,1400,-1.606,74.09
2015-01-03,2015,1,3,1500,-3.46,72.42
2015-01-03,2015,1,3,1600,-4.684,67.98
2015-01-03,2015,1,3,1700,-5.908,67.88
2015-01-03,2015,1,3,1800,-6.772,67.09
2015-01-03,2015,1,3,1900,-8.302,65.15
2015-01-03,2015,1,3,2000,-9.436,65.15
2015-01-03,2015,1,3,2100,-10.21,64.63
2015-01-03,2015,1,3,2200,-10.858,63.63
2015-01-03,2015,1,3,2300,-11.398,63.72
2015-01-03,2015,1,3,2400,-11.884,64.03
2015-01-04,2015,1,4,100,-12.154,63.77
2015-01-04,2015,1,4,200,-12.82,64.98
2015-01-04,2015,1,4,300,-12.694,65.06
2015-01-04,2015,1,4,400,-12.352,64.91
2015-01-04,2015,1,4,500,-11.992,66.15
2015-01-04,2015,1,4,600,-12.1,67.29
2015-01-04,2015,1,4,700,-12.946,68.1
2015-01-04,2015,1,4,800,-12.964,68.47
2015-01-04,2015,1,4,900,-13.252,68.64
2015-01-04,2015,1,4,1000,-11.524,68.35
2015-01-04,2015,1,4,1100,-9.274,65.72
2015-01-04,2015,1,4,1200,-7.528,63.71
2015-01-04,2015,1,4,1300,-7.312,54.71
2015-01-04,2015,1,4,1400,-7.582,55.5
2015-01-04,2015,1,4,1500,-6.52,56.88
2015-01-04,2015,1,4,1600,-6.484,59.95
2015-01-04,2015,1,4,1700,-8.05,58.02
2015-01-04,2015,1,4,1800,-9.634,57.02
2015-01-04,2015,1,4,1900,-11.164,59.33
2015-01-04,2015,1,4,2000,-11.542,60.37
2015-01-04,2015,1,4,2100,-11.452,61.76
2015-01-04,2015,1,4,2200,-10.876,61.42
2015-01-04,2015,1,4,2300,-11.632,63.42
2015-01-04,2015,1,4,2400,-11.362,62.69
2015-01-05,2015,1,5,100,-11.38,63.05
2015-01-05,2015,1,5,200,-10.948,63.03
2015-01-05,2015,1,5,300,-10.768,62.76
2015-01-05,2015,1,5,400,-10.876,63.36
2015-01-05,2015,1,5,500,-11.164,63.77
2015-01-05,2015,1,5,600,-11.488,64.31
2015-01-05,2015,1,5,700,-11.866,65.48
2015-01-05,2015,1,5,800,-11.164,65.2
2015-01-05,2015,1,5,900,-10.048,63.92
2015-01-05,2015,1,5,1000,-8.374,63.56
2015-01-05,2015,1,5,1100,-6.538,63.23
2015-01-05,2015,1,5,1200,-4.54,61.41
2015-01-05,2015,1,5,1300,-2.938,60.93
2015-01-05,2015,1,5,1400,-1.984,61.67
2015-01-05,2015,1,5,1500,-0.976,60.7
2015-01-05,2015,1,5,1600,-0.508,60.75
2015-01-05,2015,1,5,1700,-0.4,61.05
2015-01-05,2015,1,5,1800,-0.904,62.74
2015-01-05,2015,1,5,1900,-0.778,66.17
2015-01-05,2015,1,5,2000,-2.092,72.22
2015-01-05,2015,1,5,2100,-2.848,77.19
2015-01-05,2015,1,5,2200,-3.154,78.35
2015-01-05,2015,1,5,2300,-4.018,77.78
2015-01-05,2015,1,5,2400,-5.206,75.07
2015-01-06,2015,1,6,100,-5.782,71.95
2015-01-06,2015,1,6,200,-5.53,70.54
2015-01-06,2015,1,6,300,-4.9,68.11
2015-01-06,2015,1,6,400,-4.576,68.37
2015-01-06,2015,1,6,500,-3.046,64.92
2015-01-06,2015,1,6,600,-3.802,65.19
2015-01-06,2015,1,6,700,-3.262,66.25
2015-01-06,2015,1,6,800,-1.786,65.93
2015-01-06,2015,1,6,900,-1.732,68.29
2015-01-06,2015,1,6,1000,0.158,66.28
2015-01-06,2015,1,6,1100,2.174,61.73
2015-01-06,2015,1,6,1200,2.66,62.51
2015-01-06,2015,1,6,1300,2.804,63.68
2015-01-06,2015,1,6,1400,3.488,64.74
2015-01-06,2015,1,6,1500,4.046,66.26
2015-01-06,2015,1,6,1600,4.334,62.14
2015-01-06,2015,1,6,1700,2.552,65.79
2015-01-06,2015,1,6,1800,0.824,70.57
2015-01-06,2015,1,6,1900,-1.156,63.88
2015-01-06,2015,1,6,2000,-2.47,66.48
2015-01-06,2015,1,6,2100,-3.586,66.65
2015-01-06,2015,1,6,2200,-4.432,67.05
2015-01-06,2015,1,6,2300,-5.584,65.82
2015-01-06,2015,1,6,2400,-7.024,67.21
2015-01-07,2015,1,7,100,-6.97,65.27
2015-01-07,2015,1,7,200,-8.086,65.84
2015-01-07,2015,1,7,300,-8.248,65.27
2015-01-07,2015,1,7,400,-9.184,66.03
2015-01-07,2015,1,7,500,-10.192,66.71
2015-01-07,2015,1,7,600,-10.48,66.53
2015-01-07,2015,1,7,700,-10.552,66.46
2015-01-07,2015,1,7,800,-11.65,67.84
2015-01-07,2015,1,7,900,-11.452,69.99
2015-01-07,2015,1,7,1000,-7.942,66.81
2015-01-07,2015,1,7,1100,-5.296,65.03
2015-01-07,2015,1,7,1200,-2.29,62.24
2015-01-07,2015,1,7,1300,0.986,58.81
2015-01-07,2015,1,7,1400,3.38,56.18
2015-01-07,2015,1,7,1500,4.496,53.98
2015-01-07,2015,1,7,1600,4.388,52.81
2015-01-07,2015,1,7,1700,3.146,54.22
2015-01-07,2015,1,7,1800,1.31,59.14
2015-01-07,2015,1,7,1900,0.194,62.26
2015-01-07,2015,1,7,2000,-0.634,64.08
2015-01-07,2015,1,7,2100,-1.228,64.61
2015-01-07,2015,1,7,2200,-1.57,64.53
2015-01-07,2015,1,7,2300,-1.138,62.8
2015-01-07,2015,1,7,2400,-0.688,63.71
2015-01-08,2015,1,8,100,-1.318,65.66
2015-01-08,2015,1,8,200,-0.454,64.52
2015-01-08,2015,1,8,300,1.04,63.27
2015-01-08,2015,1,8,400,2.552,65.26
2015-01-08,2015,1,8,500,4.658,64.8
2015-01-08,2015,1,8,600,6.242,65.3
2015-01-08,2015,1,8,700,6.206,79.19
2015-01-08,2015,1,8,800,6.872,83.4
2015-01-08,2015,1,8,900,8.546,83.7
2015-01-08,2015,1,8,1000,10.364,81.1
2015-01-08,2015,1,8,1100,10.148,79.72
2015-01-08,2015,1,8,1200,8.726,75.62
2015-01-08,2015,1,8,1300,7.952,76.41
2015-01-08,2015,1,8,1400,8.906,75.9
2015-01-08,2015,1,8,1500,9.95,78.77
2015-01-08,2015,1,8,1600,8.69,78.21
2015-01-08,2015,1,8,1700,5.414,75.55
2015-01-08,2015,1,8,1800,4.568,74.79
2015-01-08,2015,1,8,1900,4.1,72.01
2015-01-08,2015,1,8,2000,3.758,76.22
2015-01-08,2015,1,8,2100,2.84,71.27
2015-01-08,2015,1,8,2200,1.31,71.16
2015-01-08,2015,1,8,2300,-0.274,71.94
2015-01-08,2015,1,8,2400,-1.804,67.64
2015-01-09,2015,1,9,100,-2.488,67.66
2015-01-09,2015,1,9,200,-2.884,67.39
2015-01-09,2015,1,9,300,-3.622,68.39
2015-01-09,2015,1,9,400,-5.116,70.49
2015-01-09,2015,1,9,500,-4.684,69.99
2015-01-09,2015,1,9,600,-3.532,68.84
2015-01-09,2015,1,9,700,-3.496,68.47
2015-01-09,2015,1,9,800,-4.27,69.07
2015-01-09,2015,1,9,900,-4.054,67.93
2015-01-09,2015,1,9,1000,-2.488,66.37
2015-01-09,2015,1,9,1100,-0.436,64.13
2015-01-09,2015,1,9,1200,1.382,61.61
2015-01-09,2015,1,9,1300,3.344,59.57
2015-01-09,2015,1,9,1400,5.216,59.03
2015-01-09,2015,1,9,1500,6.638,57.82
2015-01-09,2015,1,9,1600,6.818,55.85
2015-01-09,2015,1,9,1700,5.504,57.07
2015-01-09,2015,1,9,1800,2.372,61.85
2015-01-09,2015,1,9,1900,1.382,63.75
2015-01-09,2015,1,9,2000,1.148,63.38
2015-01-09,2015,1,9,2100,0.068,63.72
2015-01-09,2015,1,9,2200,-0.04,64.92
2015-01-09,2015,1,9,2300,-1.012,66.47
2015-01-09,2015,1,9,2400,-1.714,66.87
2015-01-10,2015,1,10,100,-2.326,66.55
2015-01-10,2015,1,10,200,-2.848,66.76
2015-01-10,2015,1,10,300,-2.812,65.77
2015-01-10,2015,1,10,400,-3.28,67.17
2015-01-10,2015,1,10,500,-4.702,70.03
2015-01-10,2015,1,10,600,-6.268,72.53
2015-01-10,2015,1,10,700,-6.88,73.33
2015-01-10,2015,1,10,800,-6.88,71.91
2015-01-10,2015,1,10,900,-5.422,71.14
2015-01-10,2015,1,10,1000,-1.732,68.37
2015-01-10,2015,1,10,1100,2.912,64.26
2015-01-10,2015,1,10,1200,5.828,60.8
2015-01-10,2015,1,10,1300,7.574,57.61
2015-01-10,2015,1,10,1400,6.89,57.93
2015-01-10,2015,1,10,1500,6.422,54.22
2015-01-10,2015,1,10,1600,5.864,52.37
2015-01-10,2015,1,10,1700,3.398,53.47
2015-01-10,2015,1,10,1800,-0.994,58.99
2015-01-10,2015,1,10,1900,-2.65,63.31
2015-01-10,2015,1,10,2000,-1.75,63.45
2015-01-10,2015,1,10,2100,-1.462,62.64
2015-01-10,2015,1,10,2200,-3.136,65.52
2015-01-10,2015,1,10,2300,-4.54,69.22
2015-01-10,2015,1,10,2400,-2.578,68.78
2015-01-11,2015,1,11,100,-2.866,69.58
2015-01-11,2015,1,11,200,-3.748,70.84
2015-01-11,2015,1,11,300,-3.118,70.53
2015-01-11,2015,1,11,400,-2.452,69.59
2015-01-11,2015,1,11,500,-1.93,69.3
2015-01-11,2015,1,11,600,-1.534,68.93
2015-01-11,2015,1,11,700,-1.246,71.28
2015-01-11,2015,1,11,800,-1.048,76.2
2015-01-11,2015,1,11,900,-0.346,77.03
2015-01-11,2015,1,11,1000,0.734,76.43
2015-01-11,2015,1,11,1100,1.886,74
2015-01-11,2015,1,11,1200,3.488,72.14
2015-01-11,2015,1,11,1300,6.044,68.48
2015-01-11,2015,1,11,1400,7.952,67.49
2015-01-11,2015,1,11,1500,10.004,64.96
2015-01-11,2015,1,11,1600,10.976,62.05
2015-01-11,2015,1,11,1700,9.842,64.29
2015-01-11,2015,1,11,1800,4.73,68.15
2015-01-11,2015,1,11,1900,0.284,68.55
2015-01-11,2015,1,11,2000,0.86,64.93
2015-01-11,2015,1,11,2100,0.068,64.53
2015-01-11,2015,1,11,2200,-0.634,65.48
2015-01-11,2015,1,11,2300,-0.796,64.08
2015-01-11,2015,1,11,2400,-3.91,66.38
2015-01-12,2015,1,12,100,-4.396,66.04
2015-01-12,2015,1,12,200,-5.944,68.47
2015-01-12,2015,1,12,300,-8.086,69.65
2015-01-12,2015,1,12,400,-9.238,69.41
2015-01-12,2015,1,12,500,-12.316,70.59
2015-01-12,2015,1,12,600,-13.9,72.31
2015-01-12,2015,1,12,700,-15.16,71.63
2015-01-12,2015,1,12,800,-16.114,72.5
2015-01-12,2015,1,12,900,-15.88,73.05
2015-01-12,2015,1,12,1000,-13.468,69.98
2015-01-12,2015,1,12,1100,-10.246,65.86
2015-01-12,2015,1,12,1200,-7.366,61.47
2015-01-12,2015,1,12,1300,-4.27,57.38
2015-01-12,2015,1,12,1400,-3.226,57.95
2015-01-12,2015,1,12,1500,-3.064,58.62
2015-01-12,2015,1,12,1600,-3.19,57.99
2015-01-12,2015,1,12,1700,-4.18,59.8
2015-01-12,2015,1,12,1800,-7.078,66.59
2015-01-12,2015,1,12,1900,-7.492,70.74
2015-01-12,2015,1,12,2000,-6.646,68.63
2015-01-12,2015,1,12,2100,-7.294,69.17
2015-01-12,2015,1,12,2200,-7.492,67.95
2015-01-12,2015,1,12,2300,-7.96,68.73
2015-01-12,2015,1,12,2400,-7.762,68.17
2015-01-13,2015,1,13,100,-8.788,69.29
2015-01-13,2015,1,13,200,-10.822,72.17
2015-01-13,2015,1,13,300,-10.876,72.72
2015-01-13,2015,1,13,400,-10.732,72.74
2015-01-13,2015,1,13,500,-10.426,73.68
2015-01-13,2015,1,13,600,-9.742,73.86
2015-01-13,2015,1,13,700,-9.292,73.75
2015-01-13,2015,1,13,800,-8.644,73.73
2015-01-13,2015,1,13,900,-7.114,73.28
2015-01-13,2015,1,13,1000,-4.36,70.43
2015-01-13,2015,1,13,1100,-1.138,67.19
2015-01-13,2015,1,13,1200,1.634,66.61
2015-01-13,2015,1,13,1300,3.38,67.91
2015-01-13,2015,1,13,1400,5.18,70.04
2015-01-13,2015,1,13,1500,8.852,67.19
2015-01-13,2015,1,13,1600,11.102,68.13
2015-01-13,2015,1,13,1700,12.452,70.46
2015-01-13,2015,1,13,1800,12.956,73.74
2015-01-13,2015,1,13,1900,12.686,75.04
2015-01-13,2015,1,13,2000,11.138,77.17
2015-01-13,2015,1,13,2100,9.788,79.13
2015-01-13,2015,1,13,2200,8.474,80.2
2015-01-13,2015,1,13,2300,7.16,81.3
2015-01-13,2015,1,13,2400,6.008,81.8
2015-01-14,2015,1,14,100,4.784,82
2015-01-14,2015,1,14,200,4.982,82.1
2015-01-14,2015,1,14,300,6.566,81.7
2015-01-14,2015,1,14,400,6.476,82.3
2015-01-14,2015,1,14,500,4.928,83.7
2015-01-14,2015,1,14,600,6.53,85.7
2015-01-14,2015,1,14,700,7.124,86.7
2015-01-14,2015,1,14,800,7.106,86.1
2015-01-14,2015,1,14,900,9.788,87.1
2015-01-14,2015,1,14,1000,12.254,87.3
2015-01-14,2015,1,14,1100,15.188,83.1
2015-01-14,2015,1,14,1200,17.186,80.8
2015-01-14,2015,1,14,1300,18.644,82.9
2015-01-14,2015,1,14,1400,20.203,85.4
2015-01-14,2015,1,14,1500,21.466,85
2015-01-14,2015,1,14,1600,22.951,82.2
2015-01-14,2015,1,14,1700,22.937,79.73
2015-01-14,2015,1,14,1800,23.275,81.1
2015-01-14,2015,1,14,1900,23.704,84.9
2015-01-14,2015,1,14,2000,24.21,89.2
2015-01-14,2015,1,14,2100,24.948,87.7
2015-01-14,2015,1,14,2200,24.6,87.1
2015-01-14,2015,1,14,2300,23.256,86.9
2015-01-14,2015,1,14,2400,21.967,86
2015-01-15,2015,1,15,100,22.55,85.1
2015-01-15,2015,1,15,200,25.372,82
2015-01-15,2015,1,15,300,24.273,84.5
2015-01-15,2015,1,15,400,21.295,88.3
2015-01-15,2015,1,15,500,21.78,87.2
2015-01-15,2015,1,15,600,22.577,86
2015-01-15,2015,1,15,700,22.876,85.7
2015-01-15,2015,1,15,800,22.176,87.2
2015-01-15,2015,1,15,900,24.417,85
2015-01-15,2015,1,15,1000,25.052,83.4
2015-01-15,2015,1,15,1100,27.399,82.4
2015-01-15,2015,1,15,1200,29.095,81.6
2015-01-15,2015,1,15,1300,30.713,78.85
2015-01-15,2015,1,15,1400,31.041,79.13
2015-01-15,2015,1,15,1500,32.254,78.83
2015-01-15,2015,1,15,1600,33.778,76.27
2015-01-15,2015,1,15,1700,33.526,76.72
2015-01-15,2015,1,15,1800,30.933,83.8
2015-01-15,2015,1,15,1900,29.932,84.9
2015-01-15,2015,1,15,2000,28.126,84.4
2015-01-15,2015,1,15,2100,25.765,83.7
2015-01-15,2015,1,15,2200,24.289,83.3
2015-01-15,2015,1,15,2300,22.676,83.3
2015-01-15,2015,1,15,2400,21.661,84.9
2015-01-16,2015,1,16,100,21.209,86.1
2015-01-16,2015,1,16,200,20.818,84.8
2015-01-16,2015,1,16,300,20.421,76.94
2015-01-16,2015,1,16,400,18.919,75.8
2015-01-16,2015,1,16,500,18.275,78.83
2015-01-16,2015,1,16,600,17.258,79.44
2015-01-16,2015,1,16,700,16.952,80.2
2015-01-16,2015,1,16,800,18.102,80.6
2015-01-16,2015,1,16,900,19.566,81.7
2015-01-16,2015,1,16,1000,21.79,76.02
2015-01-16,2015,1,16,1100,22.118,74.16
2015-01-16,2015,1,16,1200,23.144,75.34
2015-01-16,2015,1,16,1300,25.066,77.08
2015-01-16,2015,1,16,1400,26.654,78.54
2015-01-16,2015,1,16,1500,26.902,78.65
2015-01-16,2015,1,16,1600,27.169,80.7
2015-01-16,2015,1,16,1700,27.019,83.5
2015-01-16,2015,1,16,1800,26.474,84.7
2015-01-16,2015,1,16,1900,26.181,87.2
2015-01-16,2015,1,16,2000,26.281,89.8
2015-01-16,2015,1,16,2100,26.762,91.3
2015-01-16,2015,1,16,2200,26.809,93
2015-01-16,2015,1,16,2300,27.507,94.3
2015-01-16,2015,1,16,2400,27.383,95.1
2015-01-17,2015,1,17,100,27.631,93.5
2015-01-17,2015,1,17,200,29.068,93.5
2015-01-17,2015,1,17,300,30.121,94.5
2015-01-17,2015,1,17,400,30.286,94.3
2015-01-17,2015,1,17,500,30.34,94.4
2015-01-17,2015,1,17,600,31.352,91.2
2015-01-17,2015,1,17,700,34.178,84
2015-01-17,2015,1,17,800,34.93,84.1
2015-01-17,2015,1,17,900,34.266,84.1
2015-01-17,2015,1,17,1000,33.507,84.8
2015-01-17,2015,1,17,1100,32.133,93.7
2015-01-17,2015,1,17,1200,32.157,95.5
2015-01-17,2015,1,17,1300,32.977,94.3
2015-01-17,2015,1,17,1400,35.307,84.2
2015-01-17,2015,1,17,1500,37.15,79.05
2015-01-17,2015,1,17,1600,38.026,77.58
2015-01-17,2015,1,17,1700,37.726,71.59
2015-01-17,2015,1,17,1800,35.463,76.03
2015-01-17,2015,1,17,1900,36.221,72.59
2015-01-17,2015,1,17,2000,34.936,73.03
2015-01-17,2015,1,17,2100,34.2,74.47
2015-01-17,2015,1,17,2200,32.518,76.04
2015-01-17,2015,1,17,2300,31.867,76.84
2015-01-17,2015,1,17,2400,31.273,77.82
2015-01-18,2015,1,18,100,28.494,81.1
2015-01-18,2015,1,18,200,27.734,81.6
2015-01-18,2015,1,18,300,27.46,81.6
2015-01-18,2015,1,18,400,27.621,79.82
2015-01-18,2015,1,18,500,24.967,83.3
2015-01-18,2015,1,18,600,23.133,85.7
2015-01-18,2015,1,18,700,21.6,87.5
2015-01-18,2015,1,18,800,19.751,89.4
2015-01-18,2015,1,18,900,19.688,89
2015-01-18,2015,1,18,1000,23.04,84.4
2015-01-18,2015,1,18,1100,25.979,79.9
2015-01-18,2015,1,18,1200,28.816,75.31
2015-01-18,2015,1,18,1300,30.322,75.23
2015-01-18,2015,1,18,1400,32.117,74.4
2015-01-18,2015,1,18,1500,32.193,76.72
2015-01-18,2015,1,18,1600,31.082,82.1
2015-01-18,2015,1,18,1700,29.365,85.4
2015-01-18,2015,1,18,1800,27.426,86.8
2015-01-18,2015,1,18,1900,25.257,90.6
2015-01-18,2015,1,18,2000,25.812,89.6
2015-01-18,2015,1,18,2100,25.462,89.2
2015-01-18,2015,1,18,2200,24.197,90.3
2015-01-18,2015,1,18,2300,24.463,90.3
2015-01-18,2015,1,18,2400,24.348,89.2
2015-01-19,2015,1,19,100,25.518,86.1
2015-01-19,2015,1,19,200,26.496,84
2015-01-19,2015,1,19,300,27.954,81.5
2015-01-19,2015,1,19,400,29.219,81.6
2015-01-19,2015,1,19,500,29.754,82.7
2015-01-19,2015,1,19,600,30.711,82.5
2015-01-19,2015,1,19,700,31.399,82.8
2015-01-19,2015,1,19,800,30.801,84.4
2015-01-19,2015,1,19,900,29.813,87.3
2015-01-19,2015,1,19,1000,31.114,85.3
2015-01-19,2015,1,19,1100,32.338,83.5
2015-01-19,2015,1,19,1200,33.809,81.6
2015-01-19,2015,1,19,1300,36.556,74.79
2015-01-19,2015,1,19,1400,36.88,74.89
2015-01-19,2015,1,19,1500,35.397,79.44
2015-01-19,2015,1,19,1600,35.083,81.3
2015-01-19,2015,1,19,1700,33.726,86.2
2015-01-19,2015,1,19,1800,32.567,90.7
2015-01-19,2015,1,19,1900,32.097,90.9
2015-01-19,2015,1,19,2000,31.73,92.4
2015-01-19,2015,1,19,2100,31.626,92.9
2015-01-19,2015,1,19,2200,31.595,94
2015-01-19,2015,1,19,2300,31.447,94.6
2015-01-19,2015,1,19,2400,31.581,95.2
2015-01-20,2015,1,20,100,31.91,93.6
2015-01-20,2015,1,20,200,31.948,93.5
2015-01-20,2015,1,20,300,31.728,94.1
2015-01-20,2015,1,20,400,31.393,93.8
2015-01-20,2015,1,20,500,30.985,93.6
2015-01-20,2015,1,20,600,30.614,93.5
2015-01-20,2015,1,20,700,30.504,93.2
2015-01-20,2015,1,20,800,30.209,94.1
2015-01-20,2015,1,20,900,29.745,95.7
2015-01-20,2015,1,20,1000,29.41,96.5
2015-01-20,2015,1,20,1100,29.505,95.6
2015-01-20,2015,1,20,1200,29.849,90
2015-01-20,2015,1,20,1300,29.8,87
2015-01-20,2015,1,20,1400,29.878,85.9
2015-01-20,2015,1,20,1500,29.939,86.1
2015-01-20,2015,1,20,1600,30.033,87.4
2015-01-20,2015,1,20,1700,29.973,89.3
2015-01-20,2015,1,20,1800,29.199,91.5
2015-01-20,2015,1,20,1900,29.244,91.6
2015-01-20,2015,1,20,2000,29.048,92.4
2015-01-20,2015,1,20,2100,28.783,92
2015-01-20,2015,1,20,2200,28.449,89.3
2015-01-20,2015,1,20,2300,28.197,87.2
2015-01-20,2015,1,20,2400,27.756,88.4
2015-01-21,2015,1,21,100,27.048,87.3
2015-01-21,2015,1,21,200,26.46,85.9
2015-01-21,2015,1,21,300,25.779,83.3
2015-01-21,2015,1,21,400,25.137,85.2
2015-01-21,2015,1,21,500,24.685,88.6
2015-01-21,2015,1,21,600,24.681,91.2
2015-01-21,2015,1,21,700,24.226,93.8
2015-01-21,2015,1,21,800,22.073,94.3
2015-01-21,2015,1,21,900,19.981,93.1
2015-01-21,2015,1,21,1000,18.428,89.1
2015-01-21,2015,1,21,1100,17.69,83.7
2015-01-21,2015,1,21,1200,16.268,80.7
2015-01-21,2015,1,21,1300,15.17,80.8
2015-01-21,2015,1,21,1400,15.26,78.88
2015-01-21,2015,1,21,1500,15.17,76.31
2015-01-21,2015,1,21,1600,16.16,73.69
2015-01-21,2015,1,21,1700,15.44,74.4
2015-01-21,2015,1,21,1800,13.892,77.83
2015-01-21,2015,1,21,1900,13.154,77.56
2015-01-21,2015,1,21,2000,12.668,77.12
2015-01-21,2015,1,21,2100,13.172,74.92
2015-01-21,2015,1,21,2200,12.902,77.12
2015-01-21,2015,1,21,2300,11.768,79.7
2015-01-21,2015,1,21,2400,11.678,80.4
2015-01-22,2015,1,22,100,11.138,83
2015-01-22,2015,1,22,200,10.508,84
2015-01-22,2015,1,22,300,9.842,86.6
2015-01-22,2015,1,22,400,9.626,87.2
2015-01-22,2015,1,22,500,9.986,86.2
2015-01-22,2015,1,22,600,10.328,86.2
2015-01-22,2015,1,22,700,10.652,87.8
2015-01-22,2015,1,22,800,13.136,91
2015-01-22,2015,1,22,900,17.722,91.6
2015-01-22,2015,1,22,1000,20.161,91.1
2015-01-22,2015,1,22,1100,22.312,86.2
2015-01-22,2015,1,22,1200,22.194,81.1
2015-01-22,2015,1,22,1300,24.323,79.53
2015-01-22,2015,1,22,1400,28.274,76.57
2015-01-22,2015,1,22,1500,30.857,76.62
2015-01-22,2015,1,22,1600,33.521,71.96
2015-01-22,2015,1,22,1700,32.733,72.4
2015-01-22,2015,1,22,1800,32.511,73.23
2015-01-22,2015,1,22,1900,31.978,75.69
2015-01-22,2015,1,22,2000,32.236,77.36
2015-01-22,2015,1,22,2100,33.744,76.85
2015-01-22,2015,1,22,2200,34.808,74.51
2015-01-22,2015,1,22,2300,34.993,73.01
2015-01-22,2015,1,22,2400,35.193,70.09
2015-01-23,2015,1,23,100,34.345,71.87
2015-01-23,2015,1,23,200,33.944,72.64
2015-01-23,2015,1,23,300,34.095,73.87
2015-01-23,2015,1,23,400,33.931,77.5
2015-01-23,2015,1,23,500,33.548,80.2
2015-01-23,2015,1,23,600,33.795,78.92
2015-01-23,2015,1,23,700,32.707,80.1
2015-01-23,2015,1,23,800,30.661,82.7
2015-01-23,2015,1,23,900,29.52,85.2
2015-01-23,2015,1,23,1000,31.795,84.5
2015-01-23,2015,1,23,1100,35.328,82.3
2015-01-23,2015,1,23,1200,38.365,79.56
2015-01-23,2015,1,23,1300,40.401,77.32
2015-01-23,2015,1,23,1400,42.391,75.12
2015-01-23,2015,1,23,1500,43.608,72.97
2015-01-23,2015,1,23,1600,44.127,73.2
2015-01-23,2015,1,23,1700,42.771,75.5
2015-01-23,2015,1,23,1800,37.954,82.2
2015-01-23,2015,1,23,1900,35.418,86
2015-01-23,2015,1,23,2000,33.611,88.4
2015-01-23,2015,1,23,2100,31.735,90.8
2015-01-23,2015,1,23,2200,31.273,91.6
2015-01-23,2015,1,23,2300,30.819,93
2015-01-23,2015,1,23,2400,30.009,93.4
2015-01-24,2015,1,24,100,30.355,93.7
2015-01-24,2015,1,24,200,29.543,93.8
2015-01-24,2015,1,24,300,30.394,94.1
2015-01-24,2015,1,24,400,30.324,93.1
2015-01-24,2015,1,24,500,29.68,92.8
2015-01-24,2015,1,24,600,29.845,91.8
2015-01-24,2015,1,24,700,28.974,92
2015-01-24,2015,1,24,800,28.422,91.8
2015-01-24,2015,1,24,900,29.217,90
2015-01-24,2015,1,24,1000,31.757,87.6
